Concatenated Naming,Headset Name,Headset Brand,Headset Model,Lens Configuration,SC Attributes FOV
Pimax Vision 8K X | Large+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Large+Native+R75,102.70
Pimax Vision 8K X | Large+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Large+PP+R75,94.30
Pimax Vision 8K X | Normal+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Normal+Native+R75,102.70
Pimax Vision 8K X | Normal+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Normal+PP+R75,99.98
Pimax Vision 8K X | Small+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Small+Native+R75,102.70
Pimax Vision 8K X | Small+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Small+PP+R75,104.83
Pimax Vision 8K X | Tiny+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Tiny+Native+R75,102.70
Pimax Vision 8K X | Tiny+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Tiny+PP+R75,109.25
StarVR One | Compatible+Native+R90,StarVR One,StarVR,One,Compatible+Native+R90,107.22
StarVR One | Normal+Native+R90,StarVR One,StarVR,One,Normal+Native+R90,117.45
Valve Index | Native+R144,Valve Index,Valve,Index,Native+R144,109.16
Valve Index | PP+R144,Valve Index,Valve,Index,PP+R144,108.47
Varjo Aero | Native+R90,Varjo Aero,Varjo,Aero,Native+R90,85.61
Varjo VR-2 | Native+R60,Varjo VR-2,Varjo,VR-2,Native+R60,89.30
Varjo XR-1 | Native+R60,Varjo XR-1,Varjo,XR-1,Native+R60,89.32
